,ZIPCODE,lights_number,population,area_ft,geometry,area_mile,density
0,11201.0,948,53041.0,41094886.7657365,POINT (989463.4297040513 190450.1993265899),1.474076229831572,643.1146373673758
1,11203.0,578,78060.0,60644835.45615649,POINT (1002419.2062985761 180820.66736890402),2.175334146011123,265.70630588402696
2,11204.0,1083,77354.0,43555184.613285,POINT (988176.0017631948 163891.99853950832),1.5623272717690038,693.1966301617026
3,11205.0,391,41125.0,23270147.9497623,POINT (991150.3664710496 192509.44533721736),0.834701702743425,468.4308163202437
4,11206.0,649,83575.0,40700720.9727291,POINT (1002439.5344331621 198129.23615251013),1.4599374774997527,444.53958474403913
5,11207.0,1237,93556.0,73966260.541061,POINT (1013654.4799751135 177162.1512386783),2.653174520096598,466.23393622631454
6,11208.0,1068,94410.0,79303684.263991,POINT (1017119.3652486769 183909.21526397532),2.8446282521231847,375.4444888195363
7,11209.0,958,69255.0,57842313.9612272,POINT (976380.0024158686 166179.99919879122),2.0748075198442955,461.7295777257899
8,11210.0,437,67067.0,47887022.9921604,POINT (1000520.520933656 168264.2336753404),1.717710592866176,254.4083979076014
9,11211.0,669,60861.0,40470881.6712834,POINT (996541.479981905 199438.945727365),1.451693126983019,460.84119816035025
10,11212.0,728,83866.0,41972104.0714198,POINT (1010390.610110442 181720.90312168436),1.5055420709732192,483.54676633473485
11,11213.0,646,62426.0,29631004.437939,POINT (1003508.6030172642 185021.00604705865),1.0628660338448046,607.7906146489261
12,11214.0,929,89061.0,61096539.3891465,POINT (988312.0338449896 156892.88364320446),2.1915367951226217,423.9034462335004
13,11215.0,979,63272.0,61922821.74616381,POINT (987715.085571983 183290.0971839044),2.2211755963815647,440.75758872682235
14,11216.0,520,53862.0,26478229.2634433,POINT (998245.6490207051 190151.27818978985),0.9497757856779191,547.4976387493822
15,11217.0,480,36615.0,21648157.7960373,POINT (990611.8405519059 188299.10941984117),0.7765208116691525,618.1418357200588
16,11218.0,628,72280.0,36868798.9897562,POINT (992830.3651727509 172564.09794926757),1.3224861896578066,474.863181869971
17,11219.0,913,92561.0,42002738.4672304,POINT (981963.853810407 168127.37548057284),1.5066409287200988,605.9838031717347
18,11220.0,1090,97257.0,47453785.7906374,POINT (978015.9874889271 171957.87136246212),1.7021703465994245,640.358940676877
19,11221.0,827,80232.0,38580480.4343075,POINT (999507.458445384 190206.32296977384),1.383884313099299,597.5933047090329
20,11222.0,555,36315.0,42825293.23670201,POINT (1001566.0011720228 202972.9965778911),1.536146021174171,361.29377829314643
21,11223.0,536,79864.0,58702923.4662996,POINT (995118.3516490561 155708.72850338212),2.1056776381104942,254.54988470171222
22,11224.0,406,49600.0,46701983.7536391,POINT (990795.874732467 149587.97652420908),1.675203159207096,242.35866424235206
23,11225.0,490,56527.0,23698630.1249252,POINT (997574.2595804313 183029.36502417753),0.8500713859089905,576.4221783280444
24,11226.0,521,106132.0,39408598.2790117,POINT (997842.6023581255 175674.00402889858),1.413588953419554,368.5654155259707
25,11228.0,498,43080.0,43893024.7317224,POINT (983296.0020331739 165411.99757873674),1.5744456185334308,316.3018107058397
26,11229.0,742,79608.0,60119326.1442695,POINT (1001807.4918037236 156562.6079911697),2.1564840932144422,344.0785871478325
27,11230.0,524,80857.0,49926703.3933172,POINT (991626.9486963678 169071.6289599565),1.7908740599646034,292.59455576142346
28,11231.0,604,33144.0,39379691.7940637,POINT (984110.2162756989 188363.491762624),1.412552075946385,427.5948549332814
29,11232.0,381,29521.0,55879065.15026979,POINT (984127.5994343697 179061.0040791419),2.004385658799278,190.08318001448737
30,11233.0,746,66737.0,37871693.6822543,POINT (1005873.001701071 185051.99691483568),1.358460086742937,549.1512097264632
31,11234.0,845,85853.0,206201040.087973,POINT (1004983.5968479022 166108.629747755),7.396444562384247,114.24407941855969
32,11235.0,823,76130.0,69053803.0317134,POINT (1003340.0026679499 152573.9983205347),2.476964353467681,332.2615437916266
33,11236.0,539,94480.0,96373991.6201046,POINT (1010540.6047222845 175598.0042141633),3.4569412742519154,155.91818235808475
34,11237.0,412,49335.0,27425868.1713133,POINT (1005354.0003657601 195027.99640152848),0.9837676542166445,418.79807516955594
35,11238.0,560,46664.0,29429423.461479403,POINT (993872.6068594272 189077.2959840166),1.055635311261744,530.4862332907963
36,11239.0,95,12562.0,41794660.7671967,POINT (1020327.1616043494 176285.45805754582),1.4991771682448312,63.36809418677427
37,11249.0,199,28481.0,17772206.1701202,POINT (994398.0020378351 200415.99698719342),0.6374901777046099,312.1616723829892
38,11251.0,1,74.0,10245952.2542422,POINT (989644.999999999 193666.99999993487),0.36752296596082273,2.7209183986249124
