,Zipcode_ID,ZIPCODE,Zipcode_PO_NAME,Zipcode_POPULATION,Zipcode_AREA,Zipcode_ST_FIPS,Zipcode_CTY_FIPS,Zipcode_Area_sqft,Sidewalk_ID,Sidewalk_Shape_Length,Sidewalk_Shape_Area,Street_FAIR,Street_GOOD,Street_NR,Street_POOR,Street_sum_length_ft,Street_fair_ratio,Street_good_ratio,Street_nr_ratio,Street_poor_ratio
0,1,11213,Brooklyn,62426,29631004.437939,36,47,29631004.4223,12,517941.1193363795,3404946.963251866,20450.32841221411,74077.36499209807,,171.3534206144775,94699.04682492667,0.2159507312678799,0.7822398162998134,0.0,0.001809452432306572
1,2,11212,Brooklyn,83866,41972104.0714198,36,47,41972103.9039,11,804360.3350355772,5094082.621655165,42740.06103458637,135857.8837770322,2063.149670101368,748.3832810846297,181409.4777628046,0.2355999342574019,0.7489017963806076,0.01137288798548312,0.004125381376507524
2,3,11225,Brooklyn,56527,23698630.1249252,36,47,23698630.8132,24,401025.0970329017,2462233.306214962,27581.35268633465,58257.34987451911,,434.5101991286326,86273.21275998239,0.3196977579016066,0.6752657981637336,0.0,0.005036443934659855
3,4,11218,Brooklyn,72280,36868798.9897562,36,47,36868799.673,17,674792.7865210902,3857986.259151721,26161.82761624272,132294.6394896708,4667.815745354687,121.2022112687697,163245.485062537,0.1602606504322033,0.8104030530399702,0.02859384284696458,0.0007424536808619171
4,5,11226,Brooklyn,106132,39408598.2790117,36,47,39408598.1145,25,692705.8042875031,3945623.245966893,40136.3537275028,124379.9652440949,478.1223929072748,302.8036685984239,165297.2450331034,0.2428132042942692,0.7524624213742088,0.002892500675443945,0.001831873656078072
5,6,11219,Brooklyn,92561,42002738.4672304,36,47,42002737.9007,18,798751.7944541839,4429806.972890425,37754.97148258774,153997.6320194095,,283.9925722408529,192036.5960742381,0.1966030030442338,0.8019181508501464,0.0,0.001478846105619713
6,7,11210,Brooklyn,67067,47887022.9921604,36,47,47887022.7996,9,867815.2506994979,4457077.379518163,36943.64335519601,157097.3731842359,117.0983401713339,275.8786988112728,194433.9935784145,0.1900060924289804,0.8079727741686236,0.0006022524046141577,0.001418880997781964
7,8,11230,Brooklyn,80857,49926703.3933172,36,47,49926703.5446,28,886834.9849463305,4866472.729734195,32257.30899898692,167109.7677265318,,210.0121342773573,199577.0888597961,0.1616283170742501,0.8373193971374503,0.0,0.001052285788299537
8,9,11204,Brooklyn,77354,43555184.613285,36,47,43555184.7127,3,796046.6029190163,4031029.900885788,15901.46998678488,140997.783777324,,1033.899837763142,157933.153601872,0.1006848126826513,0.892768747800479,0.0,0.006546439516869669
9,10,11222,Brooklyn,36315,42825293.236702,36,47,42825293.2618,21,668473.9438551038,3977601.155655116,45681.18844318824,135221.4387430932,15931.34448342751,2957.821858066348,199791.7935277753,0.2286439679857901,0.6768117766773767,0.07973973406076218,0.01480452127607108
10,11,11237,Brooklyn,49335,27425868.1713133,36,47,27425868.856,35,479052.7558553612,2756395.444332736,27013.33204305548,79742.73829478725,1179.470827810781,1137.009491404433,109072.550657058,0.2476638886715856,0.7310981343556505,0.01081363570124285,0.01042434127152099
11,12,11206,Brooklyn,83575,40700720.9727291,36,47,40700720.8581,5,798150.8901454034,5224093.243299317,50878.1484057889,116343.6699756662,2441.526111601844,872.5448732963428,170535.8893663533,0.2983427628919215,0.6822239612315928,0.01431678763146942,0.005116488245016275
12,13,11251,Brooklyn,74,10245952.2542422,36,47,10245952.1484,39,62745.1431969604,298419.0168413969,1819.103223663995,576.2139499192426,27270.51292199042,,29665.83009557365,0.06131981534996447,0.01942348985559712,0.9192566947944385,0.0
13,14,11201,Brooklyn,53041,41094886.7657365,36,47,41094886.9622,1,740415.650877256,4672309.373575872,51196.85122416774,115249.2892365646,29710.28656763785,3465.640603207307,199622.0676315775,0.2564688956065551,0.577337418672913,0.1488326762673912,0.01736100945314069
14,15,11205,Brooklyn,41125,23270147.9497623,36,47,23270148.5341,4,429931.4639511831,2742494.373311858,30453.83295122343,62985.43251205312,7033.377938881114,1073.964797179145,101546.6081993368,0.2999000507377096,0.6202613127994607,0.06926255897266935,0.01057607749016042
15,16,11208,Brooklyn,94410,79303684.263991,36,47,79303683.4799,7,1262437.795275372,6767714.686832428,75338.61985284022,223754.2764499144,12998.36260295735,4092.031857847759,316183.2907635598,0.2382751462637475,0.7076726790639822,0.04111021354596964,0.0129419611263005
16,17,11207,Brooklyn,93556,73966260.541061,36,47,73966261.3239,6,1311397.563903583,7508931.814748149,80839.56304142729,237589.7436524334,6831.913270215693,5466.777711940053,330727.9976760164,0.244429149057463,0.7183841262969761,0.02065719660331958,0.01652952804224138
17,18,11217,Brooklyn,36615,21648157.7960373,36,47,21648158.1089,16,414386.461301549,2549491.222100327,38133.73104078592,53780.45730611753,,4267.984897702083,96182.17324460554,0.3964740008921007,0.5591520288208277,0.0,0.04437397028707143
18,19,11238,Brooklyn,46664,29429423.4614794,36,47,29429422.9368,36,516808.9724689783,3499084.500016515,32065.12715352796,65860.12889005529,,709.8090075473397,98635.06505113059,0.3250885183368206,0.6677151665679404,0.0,0.00719631509523908
19,20,11231,Brooklyn,33144,39379691.7940637,36,47,39379691.5464,29,619370.6245448623,3824893.194518658,46051.95487797236,101054.9467642981,16133.50800078404,1927.19870170499,165167.6083447595,0.2788195296855464,0.6118327181523568,0.09767961262179246,0.01166813954030434
20,21,11215,Brooklyn,63272,61922821.7461638,36,47,61922821.6531,14,915345.7681628437,5645792.064963742,36680.87255336283,160435.9706803175,10593.51257506856,1036.484550278386,208746.8403590272,0.1757194144365241,0.7685671812056216,0.0507481337530599,0.004965270604794392
21,22,11231,Brooklyn,33144,701979.38531194,36,47,701979.35189,29,619370.6245448623,3824893.194518658,46051.95487797236,101054.9467642981,16133.50800078404,1927.19870170499,165167.6083447595,0.2788195296855464,0.6118327181523568,0.09767961262179246,0.01166813954030434
22,23,11232,Brooklyn,29521,55879065.1502698,36,47,55879065.1896,30,596121.8797707489,3070448.758608514,42584.17326922053,64645.50168573561,11406.94853313905,2368.753704628626,121005.3771927238,0.3519196771015988,0.5342366032442963,0.09426811268867286,0.01957560696543213
23,24,11203,Brooklyn,78060,60644835.4561565,36,47,60644835.557,2,1030617.587240928,5321854.599770828,58440.67749333267,168624.6979979674,957.6550956208002,,228023.0305869209,0.2562928724476165,0.7395073101341347,0.004199817418248673,0.0
24,25,11239,Brooklyn,12562,41794660.7671967,36,47,41794660.7568,37,246143.5876370333,1341623.217106809,20678.61737496179,8121.97994847072,5306.446669125263,,34107.04399255777,0.6062858270412971,0.2381320395353803,0.1555821334233228,0.0
25,26,11236,Brooklyn,94480,96373991.6201046,36,47,96373991.9447,34,1447312.555109762,7390140.677974381,74638.65918969135,228448.1789138671,19375.74789477415,5850.309176842732,328312.8951751753,0.2273400170586263,0.6958245694004063,0.05901610378244812,0.01781930975851932
